train_no,train_name,zone,source_station,destination_station,current_station,day_of_week,month,festival,weather,temperature,humidity,visibility_km,rainfall_mm,track_congestion,station_congestion,previous_station_delay,average_route_delay,distance_from_source,distance_remaining,train_priority,locomotive_type,maintenance_flag,delay_minutes
22436,Vande Bharat,NR,MAS,PRYJ,MAS,Monday,12,None,Clear,29.3,70,10.8,0,High,High,9,1,1570,908,Vande Bharat,WDP-4D,Yes,20
12627,Karnataka Express,SWR,NGP,BPL,KOTA,Sunday,7,None,Rain,35.7,92,13.5,7,High,Medium,4,14,403,714,Passenger,WAG-9,Yes,32
12951,Mumbai Rajdhani,WR,NGP,HWH,BPL,Monday,10,None,Cloudy,41.1,89,3.8,0,Low,Medium,4,19,1181,695,Freight,WAP-5,No,15
12001,Shatabdi,NR,SBC,MAS,BPL,Wednesday,3,Holi,Rain,27.7,28,12.7,96,Low,High,10,10,333,966,Passenger,WAP-7,Yes,43
11057,Amritsar Express,CR,LKO,AGC,PRYJ,Thursday,4,None,Clear,41.6,78,8.2,0,High,Medium,4,12,36,1387,Express,WAP-5,No,24
12951,Mumbai Rajdhani,WR,CNB,BCT,AGC,Saturday,8,None,Clear,24.7,67,5.3,0,Low,Medium,12,18,175,1044,Freight,WAG-9,No,22
12627,Karnataka Express,SWR,PRYJ,LKO,CNB,Thursday,12,None,Clear,12.5,55,1.0,0,High,Medium,15,7,1077,451,Express,WAG-9,No,30
12951,Mumbai Rajdhani,WR,PRYJ,KOTA,SBC,Monday,4,None,Cloudy,28.7,77,13.1,0,Low,Medium,0,6,58,1545,Freight,WDP-4D,Yes,0
12138,Punjab Mail,CR,NDLS,KOTA,AGC,Monday,1,None,Clear,13.8,22,3.2,0,Medium,High,17,6,1147,1151,Freight,WAG-9,Yes,33
22436,Vande Bharat,NR,PRYJ,SBC,PRYJ,Saturday,9,Eid,Rain,41.0,79,13.6,25,High,High,11,14,1389,394,Freight,WAP-7,No,54
12951,Mumbai Rajdhani,WR,KOTA,LKO,AGC,Monday,11,None,Fog,37.3,68,5.6,0,Medium,Low,8,8,1497,1542,Passenger,WAP-5,Yes,48
12627,Karnataka Express,SWR,HWH,PRYJ,NGP,Saturday,8,None,Rain,43.3,49,9.7,67,Low,Medium,0,0,1799,743,Passenger,WDP-4D,No,13
12622,Tamil Nadu Express,SR,NGP,SBC,SBC,Monday,7,None,Clear,12.6,30,5.9,0,Medium,Medium,11,17,1314,589,Freight,WDP-4D,Yes,28
12138,Punjab Mail,CR,AGC,BCT,AGC,Sunday,12,None,Clear,35.2,43,9.6,0,Medium,Medium,9,16,1522,267,Passenger,WAG-9,Yes,25
12622,Tamil Nadu Express,SR,NDLS,KOTA,BPL,Tuesday,6,None,Clear,11.9,80,7.7,0,Medium,Medium,3,11,894,331,Passenger,WAP-5,No,14
12301,Howrah Rajdhani,ER,BCT,HWH,BCT,Monday,2,None,Fog,39.8,20,14.6,0,Medium,Low,7,14,1582,161,Express,WDP-4D,Yes,23
11057,Amritsar Express,CR,KOTA,SBC,BCT,Monday,10,Eid,Clear,31.8,76,8.4,0,Low,Medium,5,7,26,400,Mail,WDP-4D,Yes,20
12138,Punjab Mail,CR,NDLS,HWH,AGC,Monday,9,None,Clear,25.4,82,3.7,0,High,High,14,18,1574,1103,Express,WAP-5,No,50
12622,Tamil Nadu Express,SR,SBC,NGP,HWH,Saturday,1,Eid,Cloudy,36.3,77,7.7,0,Low,High,22,7,181,488,Passenger,WDP-4D,Yes,47
12622,Tamil Nadu Express,SR,NGP,BPL,BCT,Monday,7,Holi,Clear,11.5,36,2.7,0,Medium,Medium,8,10,770,905,Rajdhani,WAP-5,No,26
12627,Karnataka Express,SWR,PRYJ,CNB,PRYJ,Friday,3,None,Rain,17.8,23,10.8,96,High,High,1,1,1413,622,Express,WAP-7,Yes,25
12001,Shatabdi,NR,MAS,CNB,MAS,Tuesday,6,None,Clear,34.6,89,12.3,0,Low,High,0,6,976,528,Express,WAP-5,No,16
12951,Mumbai Rajdhani,WR,MAS,CNB,HWH,Friday,4,Diwali,Clear,43.5,48,0.2,0,Medium,Low,4,8,801,973,Mail,WAG-9,Yes,12
22436,Vande Bharat,NR,MAS,SBC,NDLS,Friday,4,Holi,Clear,18.0,79,11.6,0,Low,Low,18,0,597,1690,Vande Bharat,WAP-5,Yes,18
11057,Amritsar Express,CR,HWH,NDLS,CNB,Thursday,4,Eid,Clear,22.0,29,5.9,0,Low,Low,0,2,130,29,Rajdhani,WAP-5,Yes,10
11057,Amritsar Express,CR,LKO,HWH,MAS,Saturday,6,None,Fog,23.1,97,2.4,0,Low,High,15,10,976,1222,Vande Bharat,WAG-9,Yes,57
12627,Karnataka Express,SWR,AGC,NGP,SBC,Friday,4,Diwali,Rain,38.5,50,9.3,71,Medium,Low,29,19,1720,1384,Rajdhani,WAP-5,No,69
12627,Karnataka Express,SWR,BPL,LKO,NGP,Sunday,9,None,Rain,32.6,52,11.8,16,Low,Medium,8,0,1525,202,Freight,WAP-7,Yes,29
12951,Mumbai Rajdhani,WR,BCT,NGP,BCT,Wednesday,11,Holi,Rain,44.4,24,7.0,18,High,Medium,0,4,1796,1655,Passenger,WAP-5,No,23
12138,Punjab Mail,CR,CNB,SBC,HWH,Wednesday,5,Eid,Fog,38.6,32,4.3,0,Low,High,7,5,579,78,Freight,WAP-7,Yes,56
12138,Punjab Mail,CR,LKO,BPL,SBC,Tuesday,4,None,Clear,11.7,32,10.3,0,Low,Low,0,12,1141,526,Express,WDP-4D,No,12
22436,Vande Bharat,NR,MAS,BCT,NGP,Thursday,11,None,Fog,12.1,41,4.8,0,Medium,High,15,5,1779,1006,Passenger,WAP-5,Yes,53
12951,Mumbai Rajdhani,WR,NGP,LKO,NGP,Thursday,9,None,Rain,31.4,93,4.3,53,High,Medium,0,4,233,301,Freight,WAP-7,Yes,24
12138,Punjab Mail,CR,CNB,MAS,BCT,Tuesday,7,None,Cloudy,33.2,30,5.1,0,Low,Medium,27,1,521,1783,Passenger,WAG-9,No,28
12622,Tamil Nadu Express,SR,NDLS,CNB,NDLS,Saturday,7,None,Clear,8.7,82,3.0,0,High,Medium,1,17,1156,1519,Rajdhani,WAG-9,Yes,26
12622,Tamil Nadu Express,SR,HWH,MAS,BCT,Tuesday,5,None,Fog,43.3,59,4.6,0,Medium,Low,5,8,1462,887,Mail,WAP-7,No,52
12138,Punjab Mail,CR,KOTA,LKO,NDLS,Thursday,3,None,Clear,19.5,,3.2,0,High,Low,10,13,788,695,Rajdhani,WAG-9,No,31
12951,Mumbai Rajdhani,WR,CNB,AGC,NGP,Tuesday,8,None,Clear,37.5,77,2.6,0,Medium,High,1,9,381,661,Rajdhani,WAG-9,Yes,12
11057,Amritsar Express,CR,PRYJ,BPL,BPL,Friday,8,None,Cloudy,,64,4.3,0,Medium,Medium,0,0,1069,166,Passenger,WAG-9,Yes,0
12138,Punjab Mail,CR,AGC,CNB,LKO,Wednesday,1,None,Rain,15.7,44,2.2,27,Medium,Low,25,0,1068,1410,Passenger,WAP-5,Yes,37
22436,Vande Bharat,NR,BCT,AGC,NGP,Saturday,12,Chhath,Fog,22.2,87,14.3,0,High,Low,9,8,449,864,Rajdhani,WAP-7,No,60
12951,Mumbai Rajdhani,WR,NGP,CNB,MAS,Wednesday,9,None,Clear,18.0,37,12.1,0,Medium,Medium,0,4,1749,1459,Mail,WAP-5,No,0
12001,Shatabdi,NR,SBC,KOTA,SBC,Monday,10,None,Clear,28.7,61,12.2,0,Medium,Medium,2,14,1,770,Freight,WDP-4D,No,16
12627,Karnataka Express,SWR,KOTA,MAS,AGC,Thursday,3,None,Fog,15.2,39,5.0,0,Low,Medium,24,12,697,91,Passenger,WAG-9,Yes,69
22436,Vande Bharat,NR,MAS,AGC,NDLS,Saturday,5,None,Clear,40.4,68,3.6,0 mm,High,Low,0,9,1009,859,Passenger,WDP-4D,No,9
12001,Shatabdi,NR,AGC,NGP,NDLS,Monday,6,Diwali,Rain,39.1,49,0.8,93,High,Low,0,4,369,372,Vande Bharat,WDP-4D,No,31
12622,Tamil Nadu Express,SR,BCT,HWH,MAS,Thursday,3,None,Clear,26.3,,6.7,0 mm,High,High,18,10,253,1424,Freight,WAP-5,Yes,46
12622,Tamil Nadu Express,SR,NGP,AGC,CNB,Thursday,5,None,Clear,28.2,90,8.7,0,Low,High,8,17,751,957,Rajdhani,WAP-5,No,35
12301,Howrah Rajdhani,ER,PRYJ,NGP,MAS,Friday,5,None,Clear,17.7,39,7.4,0,Low,Medium,13,7,1732,976,Passenger,WAP-5,Yes,12
11057,Amritsar Express,CR,LKO,SBC,NGP,Saturday,11,Eid,Rain,30.9,27,7.1,30,Medium,Medium,0,0,207,1628,Express,WDP-4D,No,26
12622,Tamil Nadu Express,SR,HWH,PRYJ,CNB,Thursday,3,None,Clear,24.7,91,7.2,0,Low,Medium,20,11,1783,1707,Passenger,WAG-9,Yes,31
12138,Punjab Mail,CR,BCT,SBC,MAS,Wednesday,1,None,Clear,29.9,55,12.5,0,Medium,High,9,3,973,526,Freight,WAP-7,Yes,22
11057,Amritsar Express,CR,NGP,CNB,MAS,Sunday,6,None,Clear,,33,10.9,0,Low,Low,11,8,806,1373,Express,WAP-5,No,19
22436,Vande Bharat,NR,AGC,NGP,KOTA,Wednesday,1,None,Fog,44.1,53,1.3,0,High,High,0,10,1267,1530,Freight,WAP-7,No,34
12622,Tamil Nadu Express,SR,KOTA,SBC,MAS,Tuesday,6,None,Clear,31.1,21,4.5,0,Medium,High,0,12,1217,105,Mail,WAP-5,No,22
12001,Shatabdi,NR,NDLS,BPL,KOTA,Tuesday,5,Holi,Clear,22.4,51,0.2,0,Low,Medium,6,4,1011,1101,Freight,WAP-5,Yes,18
11057,Amritsar Express,CR,HWH,MAS,LKO,Tuesday,5,None,Cloudy,34.6,67,4.5,0,Low,High,23,12,196,1452,Express,WAG-9,Yes,45
22436,Vande Bharat,NR,KOTA,PRYJ,LKO,Sunday,10,Chhath,Clear,41.6,91,5.5,0,High,High,0,27,1125,525,Passenger,WAP-7,No,45
12627,Karnataka Express,SWR,NGP,AGC,MAS,Friday,11,None,Fog,42.7,42,10.5,0,High,High,0,20,1360,1321,Rajdhani,WAP-7,Yes,62
22436,Vande Bharat,NR,SBC,BCT,BPL,Thursday,6,Chhath,Rain,26.6,,0.6,12,High,High,0,13,1200,933,Express,WAP-5,Yes,50
12627,Karnataka Express,SWR,MAS,CNB,KOTA,Thursday,10,None,Cloudy,34.9,77,3.2,0,High,High,17,25,345,1308,Mail,WDP-4D,Yes,60
12951,Mumbai Rajdhani,WR,HWH,LKO,LKO,Tuesday,9,Holi,Clear,21.5,86,2.1,0,High,High,11,19,1236,1599,Mail,WDP-4D,No,48
12301,Howrah Rajdhani,ER,NGP,MAS,NDLS,Wednesday,7,None,Clear,25.5,91,11.4,0,High,Low,31,4,125,27,Mail,WAG-9,Yes,35
12627,Karnataka Express,SWR,BCT,NDLS,PRYJ,Tuesday,12,Eid,Fog,22.1,94,6.1,0,Medium,Low,5,0,1399,1387,Rajdhani,WAG-9,No,39
22436,Vande Bharat,NR,MAS,HWH,BPL,Wednesday,2,None,Clear,37.9,68,3.3,0,High,Medium,13,12,933,827,Passenger,WDP-4D,Yes,25
11057,Amritsar Express,CR,BCT,NDLS,LKO,Tuesday,9,Holi,Clear,29.4,91,12.7,0,Medium,Low,13,18,497,845,Passenger,WAG-9,Yes,39
12001,Shatabdi,NR,SBC,NDLS,MAS,Saturday,5,None,Clear,26.2,44,2.6,0,Medium,Low,5,6,1673,45,Express,WAG-9,Yes,11
12001,Shatabdi,NR,CNB,PRYJ,LKO,Wednesday,7,None,Rain,37.9,58,3.4,5,Low,Medium,27,20,1146,691,Passenger,WDP-4D,Yes,70
12001,Shatabdi,NR,AGC,NDLS,PRYJ,Friday,1,None,Clear,21.4,55,11.1,0,Low,Low,9,18,679,397,Passenger,WAP-5,No,27
12301,Howrah Rajdhani,ER,BPL,SBC,BCT,Wednesday,1,Eid,Rain,15.6,86,9.9,78,Low,High,0,15,663,1144,Vande Bharat,WAP-7,No,48
22436,Vande Bharat,NR,AGC,KOTA,AGC,Monday,6,None,Clear,39.5,53,1.0,0,Medium,High,9,18,1181,1278,Passenger,WAP-5,No,29
12627,Karnataka Express,SWR,CNB,KOTA,SBC,Monday,10,None,cloudy,9.7,34,9.5,0,High,Low,10,0,218,1501,Vande Bharat,WAG-9,No,18
12951,Mumbai Rajdhani,WR,PRYJ,MAS,MAS,Sunday,3,None,Fog,33.1,87,1.0,0,Medium,Low,6,14,871,686,Express,WAP-5,No,24
12622,Tamil Nadu Express,SR,AGC,PRYJ,CNB,Wednesday,2,None,Clear,14.6,77,5.7,0,Medium,Low,16,2,664,1381,Passenger,WAP-7,No,18
12001,Shatabdi,NR,NGP,KOTA,AGC,Sunday,12,None,Clear,28.2,,0.5,0,High,Low,28,0,163,1169,Express,WAP-7,No,36
12622,Tamil Nadu Express,SR,NDLS,PRYJ,BCT,Friday,11,None,Clear,34.0,37,8.0,0,Medium,High,0,17,753,862,Rajdhani,WDP-4D,Yes,27
12622,Tamil Nadu Express,SR,MAS,SBC,AGC,Wednesday,10,None,Clear,27.2,51,11.2,0,Medium,Medium,28,1,762,665,Express,WAP-7,Yes,29
12001,Shatabdi,NR,BCT,KOTA,KOTA,Thursday,10,None,Clear,32.8,53,10.1,0,Medium,Medium,4,0,239,589,Express,WAP-5,Yes,4
12138,Punjab Mail,CR,BCT,NDLS,AGC,Tuesday,4,Chhath,Fog,23.0,77,4.9,0,Medium,High,0,6,798,596,Vande Bharat,WDP-4D,Yes,36
12301,Howrah Rajdhani,ER,NGP,AGC,KOTA,Wednesday,7,None,Rain,25.3,75,13.8,71,High,High,25,11,298,1289,Express,WAP-7,Yes,63
12622,Tamil Nadu Express,SR,NDLS,AGC,PRYJ,Wednesday,8,None,Clear,8.9,95,5.7,0,Medium,Medium,14,8,1360,178,Mail,WAP-7,No,22
22436,Vande Bharat,NR,CNB,BPL,LKO,Thursday,4,None,Clear,16.4,75,14.6,0,Low,High,1,3,456,1792,Mail,WAP-7,No,6
22436,Vande Bharat,NR,CNB,HWH,HWH,Thursday,4,None,Cloudy,32.5,73,5.2,0,Low,Medium,20,7,1131,1113,Rajdhani,WAG-9,No,19
12001,Shatabdi,NR,MAS,LKO,NDLS,Sunday,12,None,Fog,31.3,44,13.0,0,Low,High,14,6,1629,1545,Freight,WDP-4D,No,42
12627,Karnataka Express,SWR,AGC,MAS,HWH,Monday,7,None,cloudy,33.9,29,3.9,0,Low,Medium,11,3,1281,1344,Rajdhani,WAG-9,No,14
22436,Vande Bharat,NR,BCT,LKO,CNB,Sunday,11,None,Clear,14.4,60,11.0,0,Medium,High,20,0,201,286,Express,WAG-9,Yes,22
11057,Amritsar Express,CR,SBC,BCT,PRYJ,Tuesday,4,None,Fog,28.4,54,1.4,0,Medium,High,14,3,410,44,Passenger,WAG-9,Yes,39
12138,Punjab Mail,CR,KOTA,CNB,PRYJ,Tuesday,6,None,Clear,37.6,58,0.4,0,Low,Low,0,24,1553,1307,Freight,WDP-4D,No,24
12301,Howrah Rajdhani,ER,NDLS,MAS,AGC,Saturday,4,Diwali,Clear,31.1,55,0.9,0,Low,Medium,0,8,401,199,Passenger,WAG-9,No,8
12951,Mumbai Rajdhani,WR,AGC,LKO,NDLS,Wednesday,12,Holi,Clear,43.7,87,6.0,0,High,High,5,13,1563,1755,Passenger,WAG-9,No,36
12627,Karnataka Express,SWR,PRYJ,NGP,BCT,Friday,4,None,Cloudy,43.7,76,1.5,0,Medium,Low,9,0,119,600,Rajdhani,WAG-9,No,9
12138,Punjab Mail,CR,BCT,NDLS,LKO,Sunday,1,None,Clear,30.7,93,5.9,0,High,Medium,20,13,942,649,Freight,WAP-7,Yes,41
12951,Mumbai Rajdhani,WR,NDLS,SBC,BCT,Saturday,1,None,Fog,42.8,88,3.4,0,Medium,Low,21,18,610,448,Vande Bharat,WDP-4D,Yes,71
12951,Mumbai Rajdhani,WR,KOTA,PRYJ,BCT,Monday,5,None,Clear,19.7,79,11.8,0,Low,Low,6,11,1675,785,Passenger,WAP-7,Yes,9
11057,Amritsar Express,CR,CNB,BCT,BCT,Saturday,7,None,Cloudy,42.4,32,14.7,0,Medium,High,21,11,955,1505,Mail,WAG-9,No,42
12951,Mumbai Rajdhani,WR,LKO,AGC,BCT,Friday,9,None,Cloudy,23.4,90,9.5,0,Low,High,15,2,1599,1472,Passenger,WAG-9,No,19
12627,Karnataka Express,SWR,HWH,KOTA,HWH,Tuesday,12,None,Clear,23.8,41,6.2,0,High,High,14,10,1107,1025,Freight,WAP-5,No,42
12951,Mumbai Rajdhani,WR,MAS,LKO,MAS,Saturday,5,None,Rain,14.1,47,8.1,67,Medium,High,14,13,633,1601,Express,WDP-4D,No,38
12627,Karnataka Express,SWR,NGP,NDLS,BPL,Tuesday,5,None,Rain,22.6,76,8.7,6,Medium,Medium,0,0,1451,823,Mail,WDP-4D,Yes,17
12138,Punjab Mail,CR,LKO,SBC,CNB,Monday,5,None,Clear,31.2,20,12.8,0,Low,Low,0,0,1244,734,Express,WAG-9,No,0
12951,Mumbai Rajdhani,WR,CNB,KOTA,LKO,Saturday,3,None,Clear,31.4,20,3.2,0,High,High,20,11,603,1115,Rajdhani,WAP-5,Yes,41
12951,Mumbai Rajdhani,WR,NGP,HWH,KOTA,Friday,2,None,clear,21.8,38,6.3,0,Low,High,0,3,1490,1229,Passenger,WAG-9,No,5
12138,Punjab Mail,CR,HWH,PRYJ,BCT,Wednesday,6,None,clear,15.0,95,7.5,0,Low,Low,19,13,607,1711,Passenger,WAG-9,No,32
12138,Punjab Mail,CR,AGC,BPL,KOTA,Wednesday,2,None,Cloudy,31.6,69,13.8,0,Medium,Medium,0,10,100,772,Rajdhani,WAP-5,Yes,10
12627,Karnataka Express,SWR,BCT,LKO,LKO,Tuesday,4,Holi,Clear,16.8,89,7.5,0,Medium,Medium,13,17,1184,222,Freight,WAP-5,No,38
12622,Tamil Nadu Express,SR,MAS,BCT,SBC,Friday,11,None,Cloudy,35.4,72,14.2,0,Medium,Low,7,12,709,57,Mail,WAP-5,No,19
12627,Karnataka Express,SWR,PRYJ,CNB,BCT,Tuesday,11,None,Fog,,37,3.5,0,Medium,Low,0,6,189,238,Mail,WAG-9,Yes,38
12138,Punjab Mail,CR,HWH,BCT,MAS,Saturday,2,None,Storm,,44,14.9,0,High,High,17,0,708,1207,Express,WDP-4D,Yes,35
12301,Howrah Rajdhani,ER,NGP,BCT,PRYJ,Monday,2,None,Rain,23.4,54,9.7,28,Low,High,0,11,1579,1282,Freight,WAP-5,No,36
12301,Howrah Rajdhani,ER,PRYJ,NGP,AGC,Wednesday,11,None,Fog,,41,14.8,0,Medium,High,5,7,460,1336,Freight,WDP-4D,Yes,48
12622,Tamil Nadu Express,SR,NGP,AGC,LKO,Friday,9,None,Clear,41.7,54,1.4,0,High,High,21,0,721,616,Rajdhani,WAG-9,Yes,39
12001,Shatabdi,NR,CNB,PRYJ,MAS,Tuesday,7,None,Clear,44.7,84,12.0,0,Medium,Low,0,12,310,1511,Rajdhani,WAG-9,Yes,12
12627,Karnataka Express,SWR,SBC,CNB,PRYJ,Friday,9,None,Rain,9.0,65,8.0,34,Medium,High,1,0,591,432,Rajdhani,WAP-7,No,33
12951,Mumbai Rajdhani,WR,BPL,MAS,CNB,Monday,3,None,Clear,14.6,59,14.5,0,High,Low,0,1,1144,1556,Passenger,WAP-7,Yes,1
22436,Vande Bharat,NR,PRYJ,LKO,SBC,Tuesday,2,None,Clear,21.6,36,12.4,0,Medium,High,7,0,1672,206,Passenger,WAP-5,No,-2
12627,Karnataka Express,SWR,LKO,BCT,AGC,Thursday,7,None,Fog,10.5,76,6.6,0,Low,Low,7,6,810,1562,Express,WAG-9,Yes,40
12622,Tamil Nadu Express,SR,SBC,KOTA,NGP,Monday,8,Diwali,Cloudy,15.4,80,13.1,0,Low,Low,4,14,634,20,Mail,WAG-9,Yes,26
12622,Tamil Nadu Express,SR,HWH,LKO,HWH,Wednesday,7,None,clear,17.2,64,12.1,0 mm,High,High,41,6,1059,1760,Vande Bharat,WAP-7,Yes,65
11057,Amritsar Express,CR,KOTA,AGC,BPL,Tuesday,9,None,Fog,35.6,67,8.9,0,High,Medium,27,11,1245,675,Rajdhani,WAP-5,Yes,59
12951,Mumbai Rajdhani,WR,KOTA,LKO,HWH,Monday,3,Diwali,Clear,18.3,70,9.8,0 mm,Low,Medium,12,0,1025,1595,Freight,WAP-7,Yes,12
12627,Karnataka Express,SWR, CNB ,PRYJ,BCT,Tuesday,2,None,Rain,21.2,90,7.9,52,Medium,Medium,14,4,40,1645,Rajdhani,WAP-5,No,29
12301,Howrah Rajdhani,ER,LKO,NGP,CNB,Saturday,12,Diwali,Clear,34.0,98,12.2,0,Low,Low,16,9,1619,290,Mail,WAP-7,Yes,25
12301,Howrah Rajdhani,ER,PRYJ,BPL,MAS,Wednesday,4,Diwali,Fog,34.9,28,14.7,0,Low,Low,0,15,1083,965,Rajdhani,WAP-7,No,48
11057,Amritsar Express,CR,HWH,CNB,BCT,Wednesday,1,None,Clear,27.8,97,11.9,0,Low,High,14,12,1446,1715,Vande Bharat,WAG-9,Yes,36
12627,Karnataka Express,SWR,LKO,NDLS,PRYJ,Thursday,9,None,Rain,15.7,21,12.2,12,Low,Low,20,6,1151,765,Passenger,WAP-7,Yes,39
12301,Howrah Rajdhani,ER,LKO,BPL,CNB,Tuesday,11,None,Rain,,62,12.6,52,Medium,High,0,6,163,761,Rajdhani,WAP-7,No,24
12001,Shatabdi,NR,SBC,BPL,LKO,Saturday,8,None,Cloudy,10.7,81,11.6,0,High,Low,15,4,1295,114,Vande Bharat,WAP-7,Yes,27
11057,Amritsar Express,CR,NGP,LKO,BCT,Monday,1,None,Clear,38.6,77,3.9,0,High,Low,12,0,790,871,Express,WDP-4D,Yes,20
12138,Punjab Mail,CR,MAS,LKO,PRYJ,Thursday,2,None,Clear,15.0,57,11.0,0,Low,High,0,1,579,478,Vande Bharat,WAG-9,No,11
22436,Vande Bharat,NR,MAS,HWH,CNB,Sunday,7,None,Clear,10.0,36,7.9,0,Medium,High,29,12,1520,980,Freight,WAP-5,Yes,43
12627,Karnataka Express,SWR,KOTA,AGC,BCT,Wednesday,4,None,Rain,41.6,80,14.8,62,High,Low,0,0,61,3,Mail,WAG-9,No,26
12001,Shatabdi,NR,LKO,HWH,BPL,Tuesday,9,None,Rain,25.1,60,3.6,108,High,High,9,12,726,195,Passenger,WAG-9,Yes,59
12301,Howrah Rajdhani,ER,NGP,PRYJ,HWH,Sunday,10,None,Rain,15.2,67,12.3,62,Low,High,33,5,1361,1343,Vande Bharat,WDP-4D,No,60
12622,Tamil Nadu Express,SR,CNB,NDLS,HWH,Saturday,9,None,Clear,23.4,50,8.4,0,Low,High,3,12,281,682,Freight,WAG-9,No,25
12627,Karnataka Express,SWR,KOTA,SBC,KOTA,Sunday,11,None,clear,39.0,33,11.6,0,High,Medium,0,0,1219,1491,Express,WDP-4D,No,8
22436,Vande Bharat,NR,HWH,LKO,CNB,Wednesday,4,None,Clear,20.2,96,1.0,0 mm,Medium,High,17,3,1773,542,Passenger,WDP-4D,No,22
12138,Punjab Mail,CR,HWH,BPL,NGP,Tuesday,10,None,Clear,23.7,57,5.0,0,High,Low,19,10,405,1206,Mail,WDP-4D,Yes,37
12622,Tamil Nadu Express,SR,CNB,SBC,AGC,Friday,1,None,Clear,26.1,61,1.0,0,Low,High,8,0,525,224,Vande Bharat,WDP-4D,No,18
11057,Amritsar Express,CR,LKO,CNB,HWH,Wednesday,3,None,Clear,26.3,59,3.8,0,High,High,34,20,1781,1523,Passenger,WAP-5,No,72
12001,Shatabdi,NR,MAS,HWH,NDLS,Saturday,7,None,Clear,34.3,49,10.9,0,High,Medium,17,3,1789,939,Mail,WAP-5,Yes,28
12951,Mumbai Rajdhani,WR,CNB,PRYJ,HWH,Tuesday,5,None,Rain,33.4,28,11.7,41,Low,High,0,4,59,1367,Express,WAP-7,No,20
12627,Karnataka Express,SWR,AGC,KOTA,NGP,Tuesday,2,Holi,Rain,24.3,57,9.7,94,Medium,Medium,0,7,1787,228,Vande Bharat,WAP-5,Yes,38
22436,Vande Bharat,NR,NGP,NDLS,SBC,Monday,10,None,Clear,31.1,78,14.3,0,High,High,0,11,1007,1443,Mail,WAP-5,No,21
12001,Shatabdi,NR,BPL,BCT,PRYJ,Thursday,11,Diwali,Cloudy,31.3,82,2.8,0,Low,High,10,14,1135,507,Freight,WAP-7,No,42
11057,Amritsar Express,CR,LKO,CNB,MAS,Friday,7,None,Clear,32.2,40,1.3,0,Medium,High,0,12,258,618,Freight,WAP-5,Yes,22
12001,Shatabdi,NR,HWH,PRYJ,CNB,Friday,1,None,Clear,25.1,33,13.6,0,Low,Medium,16,4,368,1623,Rajdhani,WDP-4D,No,20
12951,Mumbai Rajdhani,WR,KOTA,NGP,LKO,Wednesday,6,None,Clear,10.5,21,4.1,0 mm,Low,High,0,5,371,1701,Mail,WAP-5,No,7
12622,Tamil Nadu Express,SR,PRYJ,AGC,NDLS,Sunday,8,None,Clear,23.1,90,7.7,0,Low,Low,6,15,741,657,Rajdhani,WAP-5,No,-6
11057,Amritsar Express,CR,MAS,PRYJ,SBC,Thursday,11,None,Cloudy,42.9,49,15.0,0,High,Low,20,8,1501,1098,Express,WDP-4D,No,36
12138,Punjab Mail,CR,AGC,SBC,CNB,Monday,7,Holi,Cloudy,10.7,97,8.4,0,Medium,Medium,3,1,182,362,Vande Bharat,WDP-4D,Yes,12
12951,Mumbai Rajdhani,WR,AGC,NDLS,KOTA,Wednesday,7,None,Clear,18.0,35,14.4,0,Low,Low,0,0,92,706,Passenger,WAP-7,No,0
22436,Vande Bharat,NR,BPL,SBC,BCT,Saturday,2,None,Fog,,52,13.2,0,Low,Medium,12,4,915,1780,Express,WAG-9,Yes,29
12627,Karnataka Express,SWR,MAS,PRYJ,SBC,Sunday,11,None,Clear,38.8,40,0.8,0,Low,Low,3,0,762,650,Passenger,WAG-9,No,3
12627,Karnataka Express,SWR,CNB,MAS,BPL,Saturday,7,None,Cloudy,30.1,60,13.6,0,Low,High,0,0,1193,1676,Passenger,WAP-5,No,10
11057,Amritsar Express,CR,KOTA,PRYJ,NDLS,Monday,6,Eid,Fog,41.0,24,0.8,0,Medium,Low,0,6,412,1263,Rajdhani,WAP-7,Yes,29
12622,Tamil Nadu Express,SR,NGP,PRYJ,NGP,Thursday,4,None,Fog,33.2,95,12.9,0,Medium,Medium,18,3,208,1761,Passenger,WAG-9,No,-6
12138,Punjab Mail,CR,KOTA,BCT,SBC,Monday,2,None,Rain,19.5,70,4.1,51,Low,High,14,3,1371,934,Vande Bharat,WDP-4D,No,42
12627,Karnataka Express,SWR,AGC,HWH,AGC,Sunday,7,None,Clear,41.6,93,9.6,0,Medium,Low,11,7,794,330,Passenger,WAG-9,No,18
12622,Tamil Nadu Express,SR,CNB,AGC,NDLS,Monday,11,None,Clear,32.0,35,11.7,0,Medium,Medium,0,20,1447,169,Express,WAP-5,No,20
12138,Punjab Mail,CR,LKO,BPL,NDLS,Sunday,10,Holi,Storm,38.8,28,5.8,0,High,Medium,21,11,1542,1393,Rajdhani,WAG-9,Yes,48
22436,Vande Bharat,NR,AGC,NDLS,NDLS,Tuesday,7,None,Clear,12.0,84,11.6,0,High,Low,34,18,251,1318,Vande Bharat,WAP-5,No,52
12627,Karnataka Express,SWR,NDLS,PRYJ,NDLS,Thursday,2,None,Clear,32.3,23,9.6,0 mm,Low,Low,24,14,357,152,Rajdhani,WAP-5,No,38
